Identifier,value1,value2,value3,g,l,s,m,e
180.0,8190,143,30,0,1,0,0,0
180.0,8190,144,30,0,1,0,0,0
180.0,8190,144,28,0,1,0,0,0
180.0,8190,143,32,0,1,0,0,0
180.0,8190,144,32,0,1,0,0,0
180.0,8190,144,29,0,1,0,0,0
180.0,8190,143,27,0,1,0,0,0
180.0,8190,143,31,0,1,0,0,0
180.0,8190,143,29,0,1,0,0,0
180.0,8190,144,28,0,1,0,0,0
180.0,8190,143,29,0,1,0,0,0
180.0,8190,143,29,0,1,0,0,0
180.0,8190,144,31,0,1,0,0,0
180.0,8190,144,28,0,1,0,0,0
180.0,8190,144,32,0,1,0,0,0
180.0,8190,143,29,0,1,0,0,0
180.0,8190,142,29,0,1,0,0,0
180.0,8190,143,28,0,1,0,0,0
180.0,8190,145,33,0,1,0,0,0
180.0,8190,143,31,0,1,0,0,0
180.0,8190,145,29,0,1,0,0,0
180.0,8190,145,31,0,1,0,0,0
180.0,8190,144,29,0,1,0,0,0
180.0,8190,143,30,0,1,0,0,0
180.0,8190,147,31,0,1,0,0,0
180.0,8190,146,31,0,1,0,0,0
180.0,8190,147,31,0,1,0,0,0
180.0,8190,145,33,0,1,0,0,0
180.0,8190,145,33,0,1,0,0,0
180.0,8191,144,30,0,1,0,0,0
180.0,8190,148,32,0,1,0,0,0
180.0,8190,150,33,0,1,0,0,0
180.0,8190,149,32,0,1,0,0,0
180.0,8190,151,30,0,1,0,0,0
180.0,8190,152,30,0,1,0,0,0
180.0,8190,151,32,0,1,0,0,0
180.0,8190,153,33,0,1,0,0,0
180.0,8190,152,32,0,1,0,0,0
180.0,8190,153,31,0,1,0,0,0
180.0,8190,150,30,0,1,0,0,0
180.0,8190,150,31,0,1,0,0,0
180.0,8190,149,32,0,1,0,0,0
180.0,8190,149,30,0,1,0,0,0
180.0,8190,148,31,0,1,0,0,0
180.0,8190,149,31,0,1,0,0,0
180.0,8190,149,32,0,1,0,0,0
180.0,8190,149,32,0,1,0,0,0
180.0,8190,149,31,0,1,0,0,0
180.0,8190,149,31,0,1,0,0,0
180.0,8190,147,32,0,1,0,0,0
180.0,8190,147,32,0,1,0,0,0
180.0,8190,147,31,0,1,0,0,0
180.0,8190,146,34,0,1,0,0,0
180.0,8190,146,32,0,1,0,0,0
180.0,8190,147,30,0,1,0,0,0
180.0,8190,146,30,0,1,0,0,0
180.0,8190,145,30,0,1,0,0,0
180.0,8190,146,31,0,1,0,0,0
180.0,8190,145,33,0,1,0,0,0
180.0,8190,145,31,0,1,0,0,0
180.0,8190,145,30,0,1,0,0,0
180.0,8190,146,31,0,1,0,0,0
180.0,8190,145,29,0,1,0,0,0
180.0,8190,145,32,0,1,0,0,0
180.0,8190,146,31,0,1,0,0,0
180.0,8190,147,30,0,1,0,0,0
180.0,8190,145,31,0,1,0,0,0
180.0,8190,146,33,0,1,0,0,0
180.0,8190,144,30,0,1,0,0,0
180.0,8190,146,30,0,1,0,0,0
180.0,8190,144,30,0,1,0,0,0
180.0,8190,145,30,0,1,0,0,0
180.0,8190,146,32,0,1,0,0,0
180.0,8190,142,29,0,1,0,0,0
180.0,8190,142,32,0,1,0,0,0
180.0,8190,140,32,0,1,0,0,0
180.0,8190,142,31,0,1,0,0,0
180.0,8190,141,30,0,1,0,0,0
180.0,8190,142,30,0,1,0,0,0
180.0,8190,143,32,0,1,0,0,0
180.0,8190,142,33,0,1,0,0,0
180.0,8190,144,30,0,1,0,0,0
180.0,8190,141,30,0,1,0,0,0
180.0,8190,144,31,0,1,0,0,0
180.0,8190,144,29,0,1,0,0,0
180.0,8190,144,30,0,1,0,0,0
180.0,8190,142,30,0,1,0,0,0
180.0,8190,143,31,0,1,0,0,0
180.0,8190,145,29,0,1,0,0,0
180.0,8190,145,30,0,1,0,0,0
180.0,8190,145,33,0,1,0,0,0
180.0,8190,144,30,0,1,0,0,0
180.0,8190,146,31,0,1,0,0,0
180.0,8190,146,30,0,1,0,0,0
180.0,8190,145,30,0,1,0,0,0
180.0,8190,147,32,0,1,0,0,0
180.0,8190,143,31,0,1,0,0,0
180.0,8190,145,31,0,1,0,0,0
180.0,8190,146,30,0,1,0,0,0
180.0,8190,147,32,0,1,0,0,0
180.0,8190,144,32,0,1,0,0,0
180.0,8190,144,30,0,1,0,0,0
180.0,8190,143,27,0,1,0,0,0
180.0,8190,143,31,0,1,0,0,0
180.0,8190,144,30,0,1,0,0,0
180.0,8190,145,30,0,1,0,0,0
180.0,8190,144,31,0,1,0,0,0
180.0,8190,142,30,0,1,0,0,0
180.0,8190,141,28,0,1,0,0,0
180.0,8190,142,30,0,1,0,0,0
180.0,8190,142,31,0,1,0,0,0
180.0,8190,142,29,0,1,0,0,0
180.0,8190,139,30,0,1,0,0,0
180.0,8190,142,29,0,1,0,0,0
180.0,8190,141,29,0,1,0,0,0
180.0,8190,143,29,0,1,0,0,0
180.0,8190,143,31,0,1,0,0,0
180.0,8190,143,29,0,1,0,0,0
180.0,8190,144,30,0,1,0,0,0
180.0,8190,142,28,0,1,0,0,0
180.0,8190,144,29,0,1,0,0,0
180.0,8190,142,29,0,1,0,0,0
180.0,8190,143,31,0,1,0,0,0
180.0,8190,143,32,0,1,0,0,0
180.0,8190,143,29,0,1,0,0,0
180.0,8190,143,31,0,1,0,0,0
180.0,8190,143,29,0,1,0,0,0
180.0,8190,144,29,0,1,0,0,0
180.0,8191,143,32,0,1,0,0,0
180.0,8191,137,32,0,1,0,0,0
180.0,8191,136,32,0,1,0,0,0
180.0,8191,139,32,0,1,0,0,0
180.0,8191,139,31,0,1,0,0,0
180.0,8191,141,32,0,1,0,0,0
180.0,8191,143,30,0,1,0,0,0
180.0,8191,144,32,0,1,0,0,0
180.0,8190,145,30,0,1,0,0,0
180.0,8190,143,33,0,1,0,0,0
180.0,8190,145,30,0,1,0,0,0
180.0,8190,143,33,0,1,0,0,0
180.0,8190,144,31,0,1,0,0,0
180.0,8191,143,33,0,1,0,0,0
180.0,8190,143,33,0,1,0,0,0
180.0,8191,145,31,0,1,0,0,0
180.0,8190,147,32,0,1,0,0,0
180.0,8190,150,31,0,1,0,0,0
180.0,8190,149,32,0,1,0,0,0
180.0,8190,149,33,0,1,0,0,0
180.0,8190,148,30,0,1,0,0,0
180.0,69,21,89,0,0,1,0,0
180.0,70,22,89,0,0,1,0,0
180.0,59,23,91,0,0,1,0,0
180.0,60,23,87,0,0,1,0,0
180.0,55,23,87,0,0,1,0,0
180.0,23,23,90,0,0,1,0,0
180.0,17,25,90,0,0,1,0,0
180.0,8,25,92,0,0,1,0,0
180.0,20,23,88,0,0,1,0,0
180.0,29,24,89,0,0,1,0,0
180.0,18,24,88,0,0,1,0,0
180.0,25,23,88,0,0,1,0,0
180.0,15,23,88,0,0,1,0,0
180.0,18,24,86,0,0,1,0,0
180.0,16,24,85,0,0,1,0,0
180.0,9,24,84,0,0,1,0,0
180.0,18,26,86,0,0,1,0,0
180.0,11,23,85,0,0,1,0,0
180.0,13,26,84,0,0,1,0,0
180.0,22,24,87,0,0,1,0,0
180.0,12,23,86,0,0,1,0,0
180.0,23,24,89,0,0,1,0,0
180.0,24,22,86,0,0,1,0,0
180.0,22,22,91,0,0,1,0,0
180.0,20,22,91,0,0,1,0,0
180.0,30,21,89,0,0,1,0,0
180.0,45,22,83,0,0,1,0,0
180.0,49,22,78,0,0,1,0,0
180.0,48,22,93,0,0,1,0,0
180.0,47,20,92,0,0,1,0,0
180.0,48,21,91,0,0,1,0,0
180.0,44,21,93,0,0,1,0,0
180.0,43,23,95,0,0,1,0,0
180.0,42,20,93,0,0,1,0,0
180.0,44,22,94,0,0,1,0,0
180.0,44,24,93,0,0,1,0,0
180.0,44,21,93,0,0,1,0,0
180.0,44,21,92,0,0,1,0,0
180.0,46,22,95,0,0,1,0,0
180.0,55,20,95,0,0,1,0,0
180.0,72,21,93,0,0,1,0,0
180.0,69,22,94,0,0,1,0,0
180.0,63,21,91,0,0,1,0,0
180.0,65,22,93,0,0,1,0,0
180.0,70,21,94,0,0,1,0,0
180.0,70,22,95,0,0,1,0,0
180.0,70,21,94,0,0,1,0,0
