Identifier,value1,value2,value3,g,l,s,m,e,Goodness
0.9,0.030155048,0.004639238,0.003784642,1,0,0,0,0,100
0.9,0.030155048,0.004395068,0.003906727,1,0,0,0,0,100
0.9,0.029788793,0.004395068,0.004150897,1,0,0,0,0,100
0.9,0.030277133,0.004395068,0.004028812,1,0,0,0,0,100
0.9,0.029910878,0.004639238,0.004150897,1,0,0,0,0,100
0.9,0.030643389,0.004639238,0.003906727,1,0,0,0,0,100
0.9,0.031009645,0.004517153,0.003906727,1,0,0,0,0,100
0.9,0.031253815,0.004517153,0.003906727,1,0,0,0,0,100
0.9,0.031253815,0.004883409,0.004028812,1,0,0,0,0,100
0.9,0.031253815,0.004639238,0.004028812,1,0,0,0,0,100
0.9,0.031253815,0.004517153,0.004150897,1,0,0,0,0,100
0.9,0.031009645,0.004761323,0.004272983,1,0,0,0,0,100
0.9,0.03088756,0.004517153,0.003906727,1,0,0,0,0,100
0.9,0.031009645,0.004761323,0.003906727,1,0,0,0,0,100
0.9,0.030765474,0.004395068,0.004028812,1,0,0,0,0,100
0.9,0.030643389,0.004395068,0.004272983,1,0,0,0,0,100
0.9,0.030521304,0.004517153,0.003906727,1,0,0,0,0,100
0.9,0.030521304,0.004517153,0.003906727,1,0,0,0,0,100
0.9,0.029666707,0.004272983,0.004028812,1,0,0,0,0,100
0.9,0.030277133,0.004639238,0.003906727,1,0,0,0,0,100
0.9,0.030032963,0.004395068,0.003906727,1,0,0,0,0,100
0.9,0.030032963,0.004517153,0.004028812,1,0,0,0,0,100
0.9,0.030277133,0.004150897,0.003784642,1,0,0,0,0,100
0.9,0.030277133,0.004395068,0.004028812,1,0,0,0,0,100
0.9,0.030521304,0.004639238,0.003906727,1,0,0,0,0,100
0.9,0.029910878,0.004395068,0.003906727,1,0,0,0,0,100
0.9,0.030521304,0.004395068,0.004150897,1,0,0,0,0,100
0.9,0.030643389,0.004517153,0.004150897,1,0,0,0,0,100
0.9,0.030643389,0.004517153,0.004028812,1,0,0,0,0,100
0.9,0.030277133,0.004517153,0.003784642,1,0,0,0,0,100
0.9,0.030399219,0.004517153,0.003662556,1,0,0,0,0,100
0.9,0.030277133,0.004883409,0.004150897,1,0,0,0,0,100
0.9,0.030643389,0.004761323,0.003906727,1,0,0,0,0,100
0.9,0.030521304,0.005005494,0.003784642,1,0,0,0,0,100
0.9,0.03088756,0.004883409,0.003906727,1,0,0,0,0,100
0.9,0.030521304,0.005005494,0.003906727,1,0,0,0,0,100
0.9,0.030643389,0.005005494,0.004028812,1,0,0,0,0,100
0.9,0.030643389,0.005127579,0.003540471,1,0,0,0,0,100
0.9,0.0313759,0.005249664,0.003784642,1,0,0,0,0,100
0.9,0.0313759,0.00561592,0.003906727,1,0,0,0,0,100
0.9,0.032108412,0.005371749,0.004272983,1,0,0,0,0,100
0.9,0.032474667,0.005371749,0.004150897,1,0,0,0,0,100
0.9,0.032352582,0.005493835,0.003784642,1,0,0,0,0,100
0.9,0.032352582,0.005005494,0.003784642,1,0,0,0,0,100
0.9,0.032352582,0.005249664,0.004028812,1,0,0,0,0,100
0.9,0.032596753,0.004883409,0.004028812,1,0,0,0,0,100
0.9,0.032230497,0.004761323,0.003906727,1,0,0,0,0,100
0.9,0.032108412,0.005005494,0.003906727,1,0,0,0,0,100
0.9,0.032230497,0.004883409,0.003906727,1,0,0,0,0,100
0.9,0.031864241,0.004883409,0.004028812,1,0,0,0,0,100
0.9,0.032108412,0.004883409,0.004028812,1,0,0,0,0,100
0.9,0.032718838,0.004761323,0.003906727,1,0,0,0,0,100
0.9,0.032108412,0.005005494,0.003784642,1,0,0,0,0,100
0.9,0.032230497,0.005005494,0.003906727,1,0,0,0,0,100
0.9,0.032596753,0.004639238,0.003906727,1,0,0,0,0,100
0.9,1,0.017824441,0.003662556,0,1,0,0,0,25
0.9,0.999877915,0.017702356,0.003784642,0,1,0,0,0,25
0.9,0.999877915,0.017946527,0.003906727,0,1,0,0,0,25
0.9,0.999877915,0.017824441,0.003906727,0,1,0,0,0,25
0.9,0.999877915,0.017946527,0.003662556,0,1,0,0,0,25
0.9,0.999877915,0.017702356,0.003662556,0,1,0,0,0,25
0.9,0.999877915,0.017702356,0.003906727,0,1,0,0,0,25
0.9,0.999877915,0.017946527,0.003784642,0,1,0,0,0,25
0.9,1,0.017824441,0.003662556,0,1,0,0,0,25
0.9,0.999877915,0.017946527,0.003540471,0,1,0,0,0,25
0.9,0.999877915,0.017824441,0.003784642,0,1,0,0,0,25
0.9,0.999877915,0.017702356,0.003418386,0,1,0,0,0,25
0.9,0.999877915,0.017824441,0.003540471,0,1,0,0,0,25
0.9,0.999877915,0.017946527,0.003784642,0,1,0,0,0,25
0.9,0.999877915,0.017702356,0.003662556,0,1,0,0,0,25
0.9,0.999877915,0.017580271,0.003540471,0,1,0,0,0,25
0.9,0.999877915,0.017702356,0.003296301,0,1,0,0,0,25
0.9,0.999877915,0.017702356,0.003418386,0,1,0,0,0,25
0.9,0.999877915,0.017458186,0.004028812,0,1,0,0,0,25
0.9,0.999877915,0.017458186,0.003418386,0,1,0,0,0,25
